aw_product_id,merchant_product_id,merchant_category,aw_deep_link,merchant_image_url,aw_image_url,search_price,description,product_name,display_price,rrp_price,brand_name,specifications,mpn,promotional_text,merchant_deep_link
3192456189,1941285000999,"Accessories  >  Hair Accessories  >  Johnny Loves Rosie",http://www.awin1.com/pclick.php?p=3192456189&a=166012&m=2374,http://media.office.co.uk/medias/sys_master/8950877945886.jpg,http://images.productserve.com/preview/4/2374/89/61/3192456189.jpg,12,"Accessories Johnny Loves Rosie J Loves R Gold And Rose Gold Stud Headband Natural Hair Accessories","Accessories Johnny Loves Rosie J Loves R Gold And Rose Gold Stud Headband Natural Hair Accessories, Natural",GBP12,12.00,"Johnny Loves Rosie","Accessories  >  Hair Accessories  >  Johnny Loves Rosie","UK One Size",Natural,"http://www.office.co.uk/view/product/office_catalog/3,104/1941285000999?istCompanyId=a5878f77-5a08-4067-8ebf-aeff72525cae&istItemId=pwmxriqam&istBid=t"
3192456191,1941520000999,"Accessories  >  Hair Accessories  >  Johnny Loves Rosie",http://www.awin1.com/pclick.php?p=3192456191&a=166012&m=2374,http://media.office.co.uk/medias/sys_master/8950878470174.jpg,http://images.productserve.com/preview/4/2374/91/61/3192456191.jpg,16,"Accessories Johnny Loves Rosie J Loves R Silver Beaded Plait Headband Grey Hair Accessories","Accessories Johnny Loves Rosie J Loves R Silver Beaded Plait Headband Grey Hair Accessories, Grey",GBP16,16.00,"Johnny Loves Rosie","Accessories  >  Hair Accessories  >  Johnny Loves Rosie","UK One Size",Grey,"http://www.office.co.uk/view/product/office_catalog/3,104/1941520000999?istCompanyId=a5878f77-5a08-4067-8ebf-aeff72525cae&istItemId=pwmxriqaq&istBid=t"
3192456193,1941785000999,"Accessories  >  Jewellery  >  Johnny Loves Rosie",http://www.awin1.com/pclick.php?p=3192456193&a=166012&m=2374,http://media.office.co.uk/medias/sys_master/8950878732318.jpg,http://images.productserve.com/preview/4/2374/93/61/3192456193.jpg,28,"Accessories Johnny Loves Rosie J Loves R Rhinestone Collar Necklace Natural Jewellery","Accessories Johnny Loves Rosie J Loves R Rhinestone Collar Necklace Natural Jewellery, Natural",GBP28,28.00,"Johnny Loves Rosie","Accessories  >  Jewellery  >  Johnny Loves Rosie","UK One Size",Natural,"http://www.office.co.uk/view/product/office_catalog/3,103/1941785000999?istCompanyId=a5878f77-5a08-4067-8ebf-aeff72525cae&istItemId=pwmxriqaa&istBid=t"
3192456095,1930700000999,"Accessories  >  Socks And Tights  >  Pamela Mann",http://www.awin1.com/pclick.php?p=3192456095&a=166012&m=2374,http://media.office.co.uk/medias/sys_master/8952787107870.jpg,http://images.productserve.com/preview/4/2374/95/60/3192456095.jpg,4.3,"Accessories Pamela Mann Pamela Mann Bandage Style Tights Black Socks And Tights","Accessories Pamela Mann Pamela Mann Bandage Style Tights Black Socks And Tights, Black",GBP4.3,9.00,"Pamela Mann","Accessories  >  Socks And Tights  >  Pamela Mann","UK One Size",Black,"http://www.office.co.uk/view/product/office_catalog/3,64/1930700000999?istCompanyId=a5878f77-5a08-4067-8ebf-aeff72525cae&istItemId=pwmxriqpa&istBid=t"
3192456093,1930600000999,"Accessories  >  Socks And Tights  >  Pamela Mann",http://www.awin1.com/pclick.php?p=3192456093&a=166012&m=2374,http://media.office.co.uk/medias/sys_master/8952786649118.jpg,http://images.productserve.com/preview/4/2374/93/60/3192456093.jpg,4.3,"Accessories Pamela Mann Pamela Mann Sheer Crosses Tights Black Socks And Tights","Accessories Pamela Mann Pamela Mann Sheer Crosses Tights Black Socks And Tights, Black",GBP4.3,9.00,"Pamela Mann","Accessories  >  Socks And Tights  >  Pamela Mann","UK One Size",Black,"http://www.office.co.uk/view/product/office_catalog/3,64/1930600000999?istCompanyId=a5878f77-5a08-4067-8ebf-aeff72525cae&istItemId=pwmxriqpq&istBid=t"
3192456039,1925600000999,"Accessories  >  Bags And Purses  >  LYDC London",http://www.awin1.com/pclick.php?p=3192456039&a=166012&m=2374,http://media.office.co.uk/medias/sys_master/8949500379166.jpg,http://images.productserve.com/preview/4/2374/39/60/3192456039.jpg,16,"Accessories Lydc London Lostock Shoulder Bag By Lydc Black Bags And Purses","Accessories Lydc London Lostock Shoulder Bag By Lydc Black Bags And Purses, Black",GBP16,28.50,"LYDC London","Accessories  >  Bags And Purses  >  LYDC London","UK One Size",Black,"http://www.office.co.uk/view/product/office_catalog/3,102/1925600000999?istCompanyId=a5878f77-5a08-4067-8ebf-aeff72525cae&istItemId=pwmxriqwx&istBid=t"
3192453983,1914490001999,"Accessories  >  Beauty  >  Elegant Touch House of Holland",http://www.awin1.com/pclick.php?p=3192453983&a=166012&m=2374,http://media.office.co.uk/medias/sys_master/8948984381470.jpg,http://images.productserve.com/preview/4/2374/83/39/3192453983.jpg,9,"Accessories Elegant Touch House Of Holland Et House Of Holland Glitter Stars Multi Beauty","Accessories Elegant Touch House Of Holland Et House Of Holland Glitter Stars Multi Beauty, Multi-Coloured",GBP9,9.00,"Elegant Touch House of Holland","Accessories  >  Beauty  >  Elegant Touch House of Holland","UK One Size",Multi-Coloured,"http://www.office.co.uk/view/product/office_catalog/3,105/1914490001999?istCompanyId=a5878f77-5a08-4067-8ebf-aeff72525cae&istItemId=pwmxrimla&istBid=t"
3192456035,1925480000999,"Accessories  >  Bags And Purses  >  LYDC London",http://www.awin1.com/pclick.php?p=3192456035&a=166012&m=2374,http://media.office.co.uk/medias/sys_master/8949499592734.jpg,http://images.productserve.com/preview/4/2374/35/60/3192456035.jpg,17.6,"Accessories Lydc London Redlake Shoulder Bag By Lydc Purple Bags And Purses","Accessories Lydc London Redlake Shoulder Bag By Lydc Purple Bags And Purses, Purple",GBP17.6,31.50,"LYDC London","Accessories  >  Bags And Purses  >  LYDC London","UK One Size",Purple,"http://www.office.co.uk/view/product/office_catalog/3,102/1925480000999?istCompanyId=a5878f77-5a08-4067-8ebf-aeff72525cae&istItemId=pwmxriqxa&istBid=t"
3192456119,1932100000999,"Accessories  >  Socks And Tights  >  Pamela Mann",http://www.awin1.com/pclick.php?p=3192456119&a=166012&m=2374,http://media.office.co.uk/medias/sys_master/8952791760926.jpg,http://images.productserve.com/preview/4/2374/19/61/3192456119.jpg,4.8,"Accessories Pamela Mann Pamela Mann Crown Detail Tights Black Socks And Tights","Accessories Pamela Mann Pamela Mann Crown Detail Tights Black Socks And Tights, Black",GBP4.8,10.00,"Pamela Mann","Accessories  >  Socks And Tights  >  Pamela Mann","UK One Size",Black,"http://www.office.co.uk/view/product/office_catalog/3,64/1932100000999?istCompanyId=a5878f77-5a08-4067-8ebf-aeff72525cae&istItemId=pwmxriqlx&istBid=t"
3192456109,1931600000999,"Accessories  >  Socks And Tights  >  Pamela Mann",http://www.awin1.com/pclick.php?p=3192456109&a=166012&m=2374,http://media.office.co.uk/medias/sys_master/8952790122526.jpg,http://images.productserve.com/preview/4/2374/09/61/3192456109.jpg,3.8,"Accessories Pamela Mann Pamela Mann Heart Seamed Tights Black Socks And Tights","Accessories Pamela Mann Pamela Mann Heart Seamed Tights Black Socks And Tights, Black",GBP3.8,8.00,"Pamela Mann","Accessories  >  Socks And Tights  >  Pamela Mann","UK One Size",Black,"http://www.office.co.uk/view/product/office_catalog/3,64/1931600000999?istCompanyId=a5878f77-5a08-4067-8ebf-aeff72525cae&istItemId=pwmxriqrl&istBid=t"
