product_id,image_url,price,deeplink,product_name,brand,description
25757,http://media.aphrodite1994.com/catalog/product/cache/1/image/265x/9df78eab33525d08d6e5fb8d27136e95/b/o/boss_navy_swimshort_1.jpg,40.00,http://track.webgains.com/click.html?wgcampaignid=135283&wgprogramid=4346&product=1&wglinkid=135157&productname=Starfish+Swim+Shorts+-+Navy&wgtarget=http://www.aphrodite1994.com/menswear/trousers/swim-shorts/hugo-boss-starfish-shorts,"Starfish Swim Shorts - Navy","Hugo Boss Black","Hugo Boss branding throughout Quick Dry technology Elasticated hem Style: Starfish"
25761,http://media.aphrodite1994.com/catalog/product/cache/1/image/265x/9df78eab33525d08d6e5fb8d27136e95/h/u/hugo_boss_dark_blue_swim_shorts_01.jpg,52.00,http://track.webgains.com/click.html?wgcampaignid=135283&wgprogramid=4346&product=1&wglinkid=135157&productname=Killfish+Swimshorts+-+Navy&wgtarget=http://www.aphrodite1994.com/menswear/trousers/swim-shorts/hugo-boss-navy-killfish,"Killfish Swimshorts - Navy","Hugo Boss Black","Hugo Boss print on leg Quick Dry technology Contrast stitching Elasticated hem Style: 50219941"
25767,http://media.aphrodite1994.com/catalog/product/cache/1/image/265x/9df78eab33525d08d6e5fb8d27136e95/b/o/boss_yellow_killfish_1.jpg,36.40,http://track.webgains.com/click.html?wgcampaignid=135283&wgprogramid=4346&product=1&wglinkid=135157&productname=Killfish+Swimshorts+-+Yellow&wgtarget=http://www.aphrodite1994.com/menswear/trousers/swim-shorts/killfish-swimshorts-yellow,"Killfish Swimshorts - Yellow","Hugo Boss Black","Hugo Boss print on leg Elasticated hem Quick Dry technology Style: 50219941"
42856,http://media.aphrodite1994.com/catalog/product/cache/1/image/265x/9df78eab33525d08d6e5fb8d27136e95/s/t/stone_island_blue_swim_shorts_01.jpg,82.50,http://track.webgains.com/click.html?wgcampaignid=135283&wgprogramid=4346&product=1&wglinkid=135157&productname=Swim+Shorts+-+Royal+Blue&wgtarget=http://www.aphrodite1994.com/menswear/trousers/swim-shorts/stone-island-swim-shorts-royal-blue,"Swim Shorts - Royal Blue","Stone Island","Stone Island Logo  Elastic Waistband  Drawstring  2 Waist Pockets  Button Down Cargo Pocket  Inner Lining  Knee Length  Style: 6015B0142"
46112,http://media.aphrodite1994.com/catalog/product/cache/1/image/265x/9df78eab33525d08d6e5fb8d27136e95/h/u/hugo_boss_starfish_bm_black_01.jpg,40.00,http://track.webgains.com/click.html?wgcampaignid=135283&wgprogramid=4346&product=1&wglinkid=135157&productname=Starfish+Swim+Shorts+-+Black&wgtarget=http://www.aphrodite1994.com/menswear/trousers/swim-shorts/hugo-boss-black-swim-starfish-black,"Starfish Swim Shorts - Black","Hugo Boss Black","Hugo Boss print on leg Elasticated hem Draw string fastening  Quick Dry technology Mesh lining  Two mesh pockets in the side lining  Style: 50219941"
46129,http://media.aphrodite1994.com/catalog/product/cache/1/image/265x/9df78eab33525d08d6e5fb8d27136e95/h/u/hugo_boss_killifish_orange_01.jpg,36.40,http://track.webgains.com/click.html?wgcampaignid=135283&wgprogramid=4346&product=1&wglinkid=135157&productname=Killfish+Swim+Shorts+-+Orange&wgtarget=http://www.aphrodite1994.com/menswear/trousers/swim-shorts/hugo-boss-black-killfish-swim-shorts-orange,"Killfish Swim Shorts - Orange","Hugo Boss Black","Hugo Boss print on leg Quick Dry technology Draw string waist band Elasticated hem Velcro fastening pocket on the back Two mesh pockets in the side seams Inner velcro pocket Mesh lining Style: 50269487"
46205,http://media.aphrodite1994.com/catalog/product/cache/1/image/265x/9df78eab33525d08d6e5fb8d27136e95/h/u/hugo_boss_killfish_bm_black_01.jpg,52.00,http://track.webgains.com/click.html?wgcampaignid=135283&wgprogramid=4346&product=1&wglinkid=135157&productname=Killfish+Swimshorts+-+Black&wgtarget=http://www.aphrodite1994.com/menswear/trousers/swim-shorts/hugo-boss-black-killfish-swimshorts-black,"Killfish Swimshorts - Black","Hugo Boss Black","Hugo Boss print on leg Elasticated hem Draw string fastening  Quick Dry technology Mesh lining  Velcro fastening pocket on rear Two mesh pockets in the side lining  Style: 50219941"
21188,http://media.aphrodite1994.com/catalog/product/cache/1/image/265x/9df78eab33525d08d6e5fb8d27136e95/1/3/1342779686-06628400_4-_1_.jpg,80.00,http://track.webgains.com/click.html?wgcampaignid=135283&wgprogramid=4346&product=1&wglinkid=135157&productname=Trapper+Jumper+-+Rust&wgtarget=http://www.aphrodite1994.com/woolrich-jumper-rust-90731,"Trapper Jumper - Rust",Woolrich,"Four button closureRib-Knit collar and cuffsBranded buttonsProfessional tab with logo branded on the hemStyle: WOO.MAG1430"
21189,http://media.aphrodite1994.com/catalog/product/cache/1/image/265x/9df78eab33525d08d6e5fb8d27136e95/1/3/1343481104-90815700_2_1.jpg,49.50,http://track.webgains.com/click.html?wgcampaignid=135283&wgprogramid=4346&product=1&wglinkid=135157&productname=Jumper+-+Red&wgtarget=http://www.aphrodite1994.com/universal-works-jumper-red-21273,"Jumper - Red","Universal Works",
28493,http://media.aphrodite1994.com/catalog/product/cache/1/image/265x/9df78eab33525d08d6e5fb8d27136e95/b/o/boss_rime_jumper_black_1.jpg,69.30,http://track.webgains.com/click.html?wgcampaignid=135283&wgprogramid=4346&product=1&wglinkid=135157&productname=Jumper+-+Black+Rime&wgtarget=http://www.aphrodite1994.com/menswear/tops/knitwear/jumper-black-rime,"Jumper - Black Rime","Hugo Boss Green","Hugo Boss embroidered detailing on chest Contrast white stitching and trim throughout Inner collar lining Style: 50239959"
